dataset,truefam,best_1feat_auc,best_det_auc,best_apnorm,gap
EmailSpamDetection,global,0.8600207039337473,0.8180295138888889,0.5135206533582451,-0.041991190044858406
EmployeePerformance,global,0.64388625,0.7267592624465021,0.305368648489823,0.08287301244650214
EnvironmentalConcernSurvey,global,0.7551300578034682,0.7138560777414761,0.2511238871553973,-0.04127398006199212
FakeNewsPropagation,global,0.7928525000000001,0.798206439780189,0.3128353381303876,0.005353939780188943
FinancialTransaction4,local,0.6342925,0.6852760032914366,0.189257202423112,0.05098350329143653
FishingAnomalies,local,0.5297799999999999,0.7052337491591757,0.1794484122681113,0.17545374915917578
FootballEfficiency,local,0.6698999999999999,0.7630981053307643,0.3945075312506577,0.09319810533076434
FraudEventLog,global,0.7663203703703703,0.8297966628193619,0.5055445544511392,0.06347629244899167
GPUPowerProfile,local,0.7375,0.8698080279232112,0.2594787922061116,0.13230802792321117
GPUResourceUsage,local,0.67627,0.7464573709703005,0.2684523498226662,0.07018737097030048
GamingBehavior,local,0.91354,0.9491473407331013,0.7209634055861299,0.035607340733101234
GeneticAnalysis,global,0.6521942567567567,0.6355661733720036,0.1192143064522873,-0.01662808338475308
GesturePhaseSegmentationProcessed,local,0.6062330508474576,0.7114867981090741,0.3463518615771894,0.10525374726161651
GlobalTerrorismAttack,global,0.68196125,0.624258724041961,0.1128701552195581,-0.05770252595803893
GroceryErrorDept,global,0.7582729343549389,0.8302606414710322,0.4388526722423,0.07198770711609326
HeadingDetection,local,0.67262125,0.5971668315561907,0.0311561957990972,-0.07545441844380929
HeatVulnerability,global,0.8936924999999999,0.7848540518473158,0.4733465507524976,-0.10883844815268406
HomicideCircumstance,local,0.6799136559872756,0.818437883156046,0.17514831049561,0.13852422716877044
HospitalReadmissions,local,0.7627439024390245,0.8773078214165828,0.2537784852260515,0.11456391897755835
HumanRobotCollaboration,global,0.514335,0.7207306902745702,0.2354882846888551,0.20639569027457016
ImageSegmentation,local,0.697055090124397,0.7964221824686941,0.3215582766030876,0.09936709234429708
JobChangePatterns,global,0.706745,0.7263423334042001,0.3020535298205286,0.019597333404200112
JobMarket,local,0.6850152905198776,0.9452625086731942,0.8249830313102251,0.26024721815331653
KickstarterCampaigns,global,0.8341624999999999,0.7830698765160676,0.3073133551839032,-0.05109262348393229
LandRarity,global,0.735977892840638,0.7072100614439325,0.1789182906505611,-0.028767831396705468
LandShapeAnomaly,global,0.6074612676056338,0.6875049873918734,0.2093590826241756,0.08004371978623959
MalariaDetection,global,0.92998875,0.8647214915316813,0.5152900546481826,-0.06526725846831871
MalwareHardwareMetrics,local,0.676495,0.7958668594533541,0.5303636604002399,0.11937185945335416
