dataset,truefam,reg_random,reg_best_fixed,reg_iforest_random,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits,reg_beta1,reg_betaext,reg_matched
368_UCR_id_66_Facility_tr_50000_1st_125720.csv,local,0.2798109327670774,0.13430667680630853,0.2910549469676955,0.23003455419717347,0.23003455419717347,0.2816545051291823,0.2816545051291823,0.2816545051291823,0.0,0.23003455419717347,0.0
381_UCR_id_79_HumanActivity_tr_16000_1st_31200.csv,local,0.20451849756749918,0.07086643812617288,0.22860641659039926,0.0,0.0,0.23697758719678935,0.23697758719678935,0.30095340001118354,0.0609851140861708,0.0,0.0609851140861708
430_UCR_id_128_HumanActivity_tr_12500_1st_46500.csv,local,0.13051994777999482,0.0,0.172215819363057,0.009094265277142854,0.009094265277142854,0.16245244269815443,0.16245244269815443,0.16245244269815443,0.07094810974570695,0.009094265277142854,0.07094810974570695
433_UCR_id_131_Facility_tr_50000_1st_106720.csv,local,0.17413449158970545,0.04065266284475544,0.22115742548682915,0.09996131865378452,0.09996131865378452,0.22225443879421067,0.22225443879421067,0.22225443879421067,0.011107895987094163,0.09996131865378452,0.011107895987094163
461_UCR_id_159_Medical_tr_45096_1st_131200.csv,global,0.6059089301964719,0.47554085828248016,0.6969392821467085,0.671404494650494,0.6779302763841727,0.6865034739095811,0.6865034739095811,0.6865034739095811,0.5054412332978133,0.671404494650494,0.5054412332978133
529_UCR_id_227_Facility_tr_19948_1st_52000.csv,local,0.2643885496651293,0.04756190664483073,0.40444903019844625,0.4050124043276962,0.4050124043276962,0.4050124043276962,0.4050124043276962,0.4050124043276962,0.0,0.06378157607149815,0.0
867_OPPORTUNITY_id_26_HumanActivity_tr_808_1st_908.csv,local,0.18436941655350536,0.017080756799381813,0.33671358465692103,0.0,0.0,0.12743088181768603,0.12743088181768603,0.12743088181768603,0.03026379079010688,0.0024187452758880346,0.03026379079010688
AbstractAnomalyBatch,local,0.5674105126800959,0.5674105126800959,0.8384065224249434,0.7970418043938856,0.7970418043938856,0.8518292401094851,0.8513299165742942,0.8513299165742942,0.8366491267701023,0.8380312099702576,0.8380312099702576
ArchaeologicalAnomalies,local,0.22765167935630481,0.22765167935630481,0.2845041822578238,0.0,0.24235713112932378,0.28303394806330057,0.28303394806330057,0.28303394806330057,0.0,0.28303394806330057,0.28303394806330057
ArtCollections,local,0.23832795221834957,0.23832795221834957,0.2715228943278106,0.2387893022809951,0.2387893022809951,0.2719954314435248,0.2719954314435248,0.2719954314435248,0.14536500160843033,0.2387893022809951,0.2387893022809951
AustinCrime,local,0.13227311299731348,0.13227311299731348,0.11494054701660207,0.04729209362044223,0.04729209362044223,0.11892076757604104,0.11892076757604104,0.11892076757604104,0.2057392097986389,0.11892076757604104,0.2057392097986389
BCellImmunity,global,0.2516173609122442,0.2516173609122442,0.2639933245407287,0.2198695831393387,0.2198695831393387,0.2639372690087779,0.2639372690087779,0.2639372690087779,0.2198695831393387,0.2639372690087779,0.2198695831393387
BarExamPrediction,global,0.1622101198091157,0.1622101198091157,0.14630125556819606,0.1502475370751149,0.1502475370751149,0.1088151594311686,0.1088151594311686,0.1088151594311686,0.1502475370751149,0.1584427268022074,0.1502475370751149
BaseballBattedBall,global,0.2763242276185246,0.2763242276185246,0.10658565587349289,0.09114902819021764,0.09114902819021764,0.09114902819021764,0.09114902819021764,0.09114902819021764,0.1060868675304586,0.09114902819021764,0.09114902819021764
BaseballPitchingAnomalies,global,0.22679272660452693,0.22679272660452693,0.15359343441503104,0.23605652332737048,0.23605652332737048,0.13242445407901093,0.13242445407901093,0.31789034385307546,0.28605238881021644,0.23605652332737048,0.23605652332737048
BatchProcessingEvents,local,0.1367053868339656,0.1367053868339656,0.25891869184604216,0.2613383640123395,0.30527621695719864,0.2607875496447866,0.2607875496447866,0.018661321092783734,0.2808926056050378,0.2786008886959908,0.2786008886959908
BrainEEGSignals,local,0.43280074174226035,0.43280074174226035,0.48415159465377455,0.20947358659429166,0.0,0.48100572622178606,0.48100572622178606,0.48100572622178606,0.0,0.0,0.0
BuildingEnergyCompliance,global,0.1968665689443318,0.1968665689443318,0.22631237888785025,0.22731896174994917,0.22731896174994917,0.22731896174994917,0.22731896174994917,0.22731896174994917,0.23873783158083378,0.23873783158083378,0.23873783158083378
