corpus,dataset,m_sil_tr,m_gmm_tr,m_sil_val,marg,marg_rel,iso,inter,best_local,best_global,glob_adv
ucr,103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.txt,0.5174026900708519,0.49455168581943687,0.4884864180163506,2.0174339463638598,1.2254982862855008,1.8396171264627488,0.5,0.7948778367060924,0.110178783527948,-0.6846990531781444
ucr,106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.txt,0.4338877256664664,0.3993169326541337,0.4364995631663109,1.7793487042121325,0.9656726971882797,1.3294021742853208,0.6222222222222222,0.3296756111952055,0.0717797160440111,-0.2578958951511944
ucr,107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.txt,0.3149125456293778,0.0380411002517383,0.3041396555001621,2.2427838091651164,1.0922198286732674,1.1046931815037,0.14285714285714285,0.0059642163251832,0.1693047868112927,0.1633405704861095
ucr,117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,0.2813053591113112,0.04477860682657254,0.294215724522008,6.60775300019242,3.7789730775275734,3.543787846231145,0.2857142857142857,0.6147548979567047,0.6836702952491452,0.06891539729244056
ucr,121_UCR_Anomaly_ECG3_15000_16000_16100.txt,0.5099140947616101,0.3799709395515988,0.5213291047454344,1.8712502656023955,1.0538211484436448,2.9702227494960685,0.7,0.4000459854777833,0.1374355497697234,-0.2626104357080599
ucr,122_UCR_Anomaly_ECG3_8000_17000_17100.txt,0.5102123554221858,0.3788566970145496,0.5213291047454344,2.1031613161516503,1.1833589756540033,2.3685738249264885,0.3,0.4469048186775626,0.0511251443888204,-0.3957796742887422
ucr,151_UCR_Anomaly_MesoplodonDensirostris_10000_19280_19440.txt,0.4521754969893287,0.2507413749264017,0.417343290404881,2.5707478594177733,1.5506796374676164,2.286029283535198,0.35714285714285715,0.3159534338029631,0.0766212492551716,-0.23933218454779148
ucr,157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.txt,0.49412529407256994,0.5055498684617991,0.482408464846032,1.7839685557494784,1.1592929459212025,1.4843335918835014,0.8,0.3938100397255327,0.1874601580532744,-0.2063498816722583
ucr,160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.txt,0.49069370752696295,0.4705384723615743,0.4853393021560066,1.93960863443019,1.2776827523403742,2.4771965060268197,0.5,0.8670629076277777,0.1097809937947236,-0.7572819138330541
ucr,166_UCR_Anomaly_apneaecg_10000_12240_12308.txt,0.6142089134881044,0.4386168690250021,0.5881344439225771,2.933361334704127,1.786664930414462,3.6236194489698925,0.25,0.4411418206715658,0.0626976501416986,-0.37844417052986723
ucr,167_UCR_Anomaly_gait1_20000_38500_38800.txt,0.5536747107193196,0.5693058821116362,0.5485236683440948,1.7733521183003729,0.9756711525860774,1.9879561689076062,0.6086956521739131,0.3692434666344599,0.0344030335667521,-0.3348404330677078
ucr,168_UCR_Anomaly_gait2_22000_46500_46800.txt,0.5569834005606941,0.5759542993774859,0.55331799751765,1.9673856132435916,1.1013980743712064,1.684429224179637,0.5652173913043478,0.3589209383656644,0.0201057638407122,-0.3388151745249522
ucr,170_UCR_Anomaly_gaitHunt1_18500_33070_33180.txt,0.454989476177678,0.4480774281029637,0.4451894966278545,3.3665289230874524,1.7866061073474222,5.879884851814643,0.18181818181818182,0.4887220788501559,0.1004452493394909,-0.388276829510665
ucr,171_UCR_Anomaly_gaitHunt2_18500_31200_31850.txt,0.45722438267914706,0.42733029443074005,0.4547504950210277,1.9713387880975113,1.048478687697057,2.556352264818899,0.5555555555555556,0.5610041778884148,0.1247647883026386,-0.43623938958577624
ucr,181_UCR_Anomaly_park3m_60000_72150_72495.txt,0.49235769771397797,0.4720729456547088,0.4695544098621687,2.0634028032625964,1.1916034411823007,1.6126132186086304,0.48,0.4281159746082448,0.1109070804563133,-0.3172088941519315
ucr,197_UCR_Anomaly_tiltAPB1_100000_114283_114350.txt,0.3695465217192129,0.404194001989679,0.3791673055963687,3.732969863805591,2.2730757403194017,2.4984061228192163,0.25,0.2282914835803074,0.0480980501266947,-0.18019343345361272
ucr,207_UCR_Anomaly_CHARISten_3165_26929_26989.txt,0.26624827920744304,0.12398158999523787,0.2551609097239145,4.791421902536104,2.6520668022028184,2.8296150182868636,0.14285714285714285,0.2323313396168398,0.1382334436671733,-0.0940978959496665
ucr,221_UCR_Anomaly_STAFFIIIDatabase_45616_163632_164852.txt,0.6039943062082415,0.3072898120289953,0.5916336211392756,2.4174168491058685,1.5003142662053133,1.5024225676360061,0.35802469135802467,0.2500615399045571,0.188643291614223,-0.0614182482903341
ucr,223_UCR_Anomaly_mit14046longtermecg_74123_131200_131700.txt,0.6083509734983983,0.4440561383916707,0.569577176749989,3.125318646304642,2.1871094667871604,1.6314059573326702,0.08571428571428572,0.3040974087807981,0.7853343615960388,0.48123695281524065
tsbad_u,228_MGAB_id_4_Synthetic_tr_25000_1st_38948.csv,0.2752672404556564,0.1608658846575748,0.2653567385177255,1.7160691158476196,0.9901152028020588,1.365803068866675,0.6216216216216216,0.2421350378744648,0.0293720088745873,-0.2127630289998775
tsbad_u,229_MGAB_id_5_Synthetic_tr_25000_1st_33098.csv,0.29020463510078137,0.15164679964474628,0.2905128778205079,1.7846157115765113,1.0308112677692645,1.1526011796070523,0.6451612903225806,0.2254121066707807,0.0078064315560904,-0.2176056751146903
tsbad_u,230_MGAB_id_6_Synthetic_tr_25000_1st_42441.csv,0.2511962966672054,0.14971404458483564,0.2816379811389061,1.759073763564037,0.988702990361036,1.1329820094978937,0.825,0.382713870063261,0.034037165740637,-0.34867670432262404
ucr,244_UCR_Anomaly_tilt12754table_100013_104630_104890.txt,0.42200442895206025,0.3465025707919264,0.3873533641314383,2.7119611066034537,1.7326330782052004,2.24110786155212,0.19047619047619047,0.1886471730519424,0.1948469945527094,0.0061998215007670054
ucr,248_UCR_Anomaly_weallwalk_2000_4702_4707.txt,0.5586118178922748,0.296428377325694,0.4764111592087323,2.139802479231203,1.46451529603623,1.9704427402192821,0.2,0.5443000725150229,0.1544578073258217,-0.3898422651892012
tsbad_u,302_Power_id_1_Facility_tr_7685_1st_7785.csv,0.5207468211304337,0.356735657241323,0.4958830198925655,1.8698844065077784,1.1011727384593382,1.3702000812175743,0.5637254901960784,0.024534725259256,0.1878118029858441,0.16327707772658812
tsbad_u,314_UCR_id_12_HumanActivity_tr_16250_1st_38500.csv,0.45702597293260716,0.3930842221236838,0.474255708814127,1.9420301879941626,1.0351487610645846,1.372134339461423,0.6086956521739131,0.1854583046514521,0.0139812533261141,-0.171477051325338
tsbad_u,345_UCR_id_43_Facility_tr_25000_1st_44630.csv,0.3082477534356667,0.39467598537328413,0.3833203384828836,2.1157035956502703,1.3018673552194686,1.8096644519122052,0.38095238095238093,0.0104755733355379,0.1096203063833257,0.0991447330477878
tsbad_u,368_UCR_id_66_Facility_tr_50000_1st_125720.csv,0.5687118645032279,0.2554606023612486,0.5663102723556874,1.8068416851222355,1.1173372290203762,1.3226765829035443,0.6222222222222222,0.3863280537675411,0.1961930155655236,-0.1901350382020175
tsbad_u,381_UCR_id_79_HumanActivity_tr_16000_1st_31200.csv,0.43421271202082756,0.40874361381877566,0.4349950216013022,1.7369319280435178,0.9494159160102706,1.3338685029191406,0.6444444444444445,0.3246028501722187,0.0638479606098022,-0.2607548895624165
tsbad_u,430_UCR_id_128_HumanActivity_tr_12500_1st_46500.csv,0.45768662845631386,0.35808549105180937,0.4921026652963945,1.656452011517723,0.8811755762158067,1.2633789460953877,0.7272727272727273,0.2094951028104652,0.0105211603166302,-0.19897394249383502
tsbad_u,433_UCR_id_131_Facility_tr_50000_1st_106720.csv,0.5986142724365474,0.2791246854514016,0.5833362017083537,2.359198453051514,1.5051097988787134,1.5301201873799342,0.4,0.2522367293679499,0.0652995585261345,-0.18693717084181538
tsbad_u,461_UCR_id_159_Medical_tr_45096_1st_131200.csv,0.6043486785852842,0.45860410298903315,0.582836322695874,3.23664699906309,2.254284033123174,1.6780430756119429,0.08571428571428572,0.3118716160380513,0.7860301727708293,0.474158556732778
tsbad_u,529_UCR_id_227_Facility_tr_19948_1st_52000.csv,0.4555633559753653,0.3431584373378855,0.4184971428227647,1.9667866234387834,1.2030014850562172,2.120314955784242,0.5116279069767442,0.4680091468803568,0.1151747955850051,-0.3528343512953517
