dataset,modality,split,corpus,dedup_group,n_variants,base_rate,gt_best,gt_second,best_ap_norm,mean_ap_norm,worst_ap_norm,spread_ap_norm,best_auc,zone,gt_ranking,mz_rule_auc,hbos_rule_auc,rule_auc,rule_trivial,include
164_UCR_Anomaly_apneaecg3_5000_11111_11211.txt,timeseries,test,ucr,g276,23,0.0204,HBOS_b20,HBOS_b5,0.829,0.3751,0.0284,0.4539,0.9955,live,HBOS_b20|HBOS_b5|LOF_k3|HBOS|PCA_c0.3,0.9744258872651358,0.9473903966597078,0.9744258872651358,True,False
166_UCR_Anomaly_apneaecg_10000_12240_12308.txt,timeseries,test,ucr,g275,23,0.0165,KNN_k3,LOF_k10,0.4411,0.1085,0.0081,0.3326,0.8655,live,KNN_k3|LOF_k10|LOF_k3|LOF_k20|LOF_k50,0.6824218750000001,0.73203125,0.73203125,False,True
167_UCR_Anomaly_gait1_20000_38500_38800.txt,timeseries,test,ucr,g324,23,0.044,LOF_k3,LOF_k10,0.3692,0.1094,0.0038,0.2598,0.7603,live,LOF_k3|LOF_k10|LOF_k20|KNN_k3|KNN_k20,0.5417391304347825,0.5418260869565217,0.5418260869565217,False,True
168_UCR_Anomaly_gait2_22000_46500_46800.txt,timeseries,test,ucr,g325,23,0.044,LOF_k10,LOF_k20,0.3589,0.1044,-0.0024,0.2545,0.7674,live,LOF_k10|LOF_k20|LOF_k3|KNN_k3|KNN_k10,0.5263478260869565,0.529391304347826,0.529391304347826,False,True
170_UCR_Anomaly_gaitHunt1_18500_33070_33180.txt,timeseries,test,ucr,g326,23,0.0216,LOF_k3,LOF_k10,0.4887,0.1803,0.024,0.3084,0.9752,live,LOF_k3|LOF_k10|KNN_k3|KNN_k10|LOF_k20,0.762,0.8458181818181819,0.8458181818181819,False,True
171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,timeseries,test,tsbad_m,g256,23,0.2492,LOF_k3,KNN_k3,0.5134,0.2277,0.0605,0.2857,0.8192,live,LOF_k3|KNN_k3|CBLOF|LOF_k10|KNN_k10,0.6511627906976745,0.6806515818143726,0.6806515818143726,False,True
171_UCR_Anomaly_gaitHunt2_18500_31200_31850.txt,timeseries,test,ucr,g327,23,0.0827,LOF_k10,LOF_k3,0.561,0.2015,0.0602,0.3595,0.9111,live,LOF_k10|LOF_k3|KNN_k3|LOF_k20|KNN_k10,0.5794222222222222,0.6984,0.6984,False,True
173_UCR_Anomaly_insectEPG1_3000_7000_7030.txt,timeseries,test,ucr,g328,23,0.0463,HBOS_b50,HBOS,0.0869,0.0298,0.0007,0.0571,0.805,floor,HBOS_b50|HBOS|COPOD|HBOS_b20|KNN_k20,,,,False,False
174_UCR_Anomaly_insectEPG2_3700_8000_8025.txt,timeseries,test,ucr,g329,23,0.0398,KNN_k20,CBLOF,0.9884,0.9117,0.8032,0.0767,0.9994,live,KNN_k20|CBLOF|KNN_k50|KNN_k3|LOF_k50,,,,False,False
181_UCR_Anomaly_park3m_60000_72150_72495.txt,timeseries,test,ucr,g348,23,0.0477,LOF_k10,LOF_k20,0.4281,0.1399,0.0094,0.2883,0.8546,live,LOF_k10|LOF_k20|LOF_k3|KNN_k3|KNN_k10,0.5628,0.628,0.628,False,True
182_UCR_Anomaly_qtdbSel1005V_4000_12400_12800.txt,timeseries,test,ucr,g350,23,0.0619,HBOS_b5,PCA_c0.3,0.0789,0.0391,-0.0102,0.0398,0.567,floor,HBOS_b5|PCA_c0.3|HBOS|PCA|PCA_c0.9,,,,False,False
183_UCR_Anomaly_qtdbSel100MLII_4000_13400_13800.txt,timeseries,test,ucr,g351,23,0.072,ECOD,LOF_k3,0.0615,0.0108,-0.0122,0.0508,0.5948,floor,ECOD|LOF_k3|HBOS|HBOS_b5|LOF_k10,,,,False,False
195_UCR_Anomaly_sel840mECG1_17000_51370_51740.txt,timeseries,test,ucr,g352,23,0.0513,ECOD,COPOD,0.1331,0.0586,0.0252,0.0745,0.7168,live,ECOD|COPOD|IF_n50|KNN_k3|IForest,,,,False,False
196_UCR_Anomaly_sel840mECG2_20000_49370_49740.txt,timeseries,test,ucr,g353,23,0.0531,HBOS_b5,ECOD,0.0219,0.0088,-0.0013,0.0131,0.6026,floor,HBOS_b5|ECOD|LOF_k3|HBOS_b20|HBOS,,,,False,False
197_UCR_Anomaly_tiltAPB1_100000_114283_114350.txt,timeseries,test,ucr,g361,23,0.0159,LOF_k10,KNN_k3,0.2283,0.0465,0.0036,0.1818,0.8048,live,LOF_k10|KNN_k3|LOF_k3|LOF_k20|ECOD,0.7627499999999999,0.68875,0.7627499999999999,False,True
19_landsat,tabular,dev,adbench_dami,g135,35,0.2498,LOF_k10,LOF_k3,0.5253,0.1988,-0.0412,0.3265,0.7951,live,LOF_k10|LOF_k3|LOF|LOF_k35|LOF_k50,0.3855118318513846,0.7321004673055662,0.7321004673055662,False,True
202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,timeseries,test,ucr,g277,23,0.0119,PCA_c0.3,PCA_c0.9,0.6823,0.3361,0.0042,0.3462,0.9922,live,PCA_c0.3|PCA_c0.9|PCA|HBOS_b50|HBOS_b20,0.996,0.8673333333333333,0.996,True,False
203_UCR_Anomaly_CHARISfive_10500_10995_11028.txt,timeseries,test,ucr,g278,23,0.0119,KNN_k20,KNN_k10,0.0933,0.0498,0.0093,0.0435,0.8672,floor,KNN_k20|KNN_k10|LOF_k100|LOF_k50|LOF_k10,,,,False,False
206_UCR_Anomaly_CHARISten_25130_29080_29140.txt,timeseries,test,ucr,g279,23,0.0159,LOF_k3,LOF_k10,0.0343,0.0104,-0.0013,0.0239,0.7085,floor,LOF_k3|LOF_k10|LOF_k20|HBOS_b5|KNN_k3,,,,False,False
207_UCR_Anomaly_CHARISten_3165_26929_26989.txt,timeseries,test,ucr,g280,23,0.0139,LOF_k100,LOF_k50,0.2323,0.12,0.0107,0.1123,0.8437,live,LOF_k100|LOF_k50|KNN_k3|KNN_k20|LOF_k20,0.8007745266781411,0.7283419391853128,0.8007745266781411,False,True
208_UCR_Anomaly_CHARISten_5130_27929_27989.txt,timeseries,test,ucr,g281,23,0.0139,HBOS_b50,HBOS_b20,0.0811,0.0136,-0.0014,0.0676,0.6513,floor,HBOS_b50|HBOS_b20|HBOS|HBOS_b5|KNN_k3,,,,False,False
209_UCR_Anomaly_Fantasia_19000_26970_27270.txt,timeseries,test,ucr,g323,23,0.044,HBOS_b5,HBOS,0.0415,0.018,-0.002,0.0235,0.6521,floor,HBOS_b5|HBOS|HBOS_b50|KNN_k3|KNN_k20,,,,False,False
20_letter,tabular,dev,adbench_dami,g137,35,0.2268,LOF_k10,LOF_k3,0.7135,0.228,-0.011,0.4855,0.907,live,LOF_k10|LOF_k3|KNN_k3|LOF|KNN,0.5769473684210525,0.6344912280701756,0.6344912280701756,False,True
210_UCR_Anomaly_Italianpowerdemand_36123_74900_74996.txt,timeseries,test,ucr,g330,23,0.0196,CBLOF,ECOD,0.0852,0.0208,-0.003,0.0644,0.7481,floor,CBLOF|ECOD|KNN_k100|KNN_k50|IF_n50,,,,False,False
211_UCR_Anomaly_Italianpowerdemand_38113_39240_39336.txt,timeseries,test,ucr,g331,23,0.0196,ECOD,CBLOF,0.1089,0.0223,0.0006,0.0867,0.7898,live,ECOD|CBLOF|COPOD|KNN_k100|PCA_c0.9,,,,False,False
212_UCR_Anomaly_Italianpowerdemand_8913_29480_29504.txt,timeseries,test,ucr,g332,23,0.0158,LOF_k3,HBOS_b50,-0.0002,-0.0036,-0.0057,0.0033,0.408,floor,LOF_k3|HBOS_b50|HBOS_b20|LOF_k10|HBOS_b5,,,,False,False
217_UCR_Anomaly_STAFFIIIDatabase_38211_150720_151370.txt,timeseries,test,ucr,g354,23,0.0827,LOF_k50,HBOS_b5,0.1695,0.0768,0.0082,0.0927,0.6982,live,LOF_k50|HBOS_b5|HBOS|HBOS_b20|HBOS_b50,,,,False,False
221_UCR_Anomaly_STAFFIIIDatabase_45616_163632_164852.txt,timeseries,test,ucr,g355,23,0.1396,LOF_k20,LOF_k10,0.2501,0.1199,0.0407,0.1301,0.7022,live,LOF_k20|LOF_k10|HBOS_b50|HBOS_b20|LOF_k3,0.6641111111111111,0.7015061728395062,0.7015061728395062,False,True
222_UCR_Anomaly_mit14046longtermecg_56123_91200_91700.txt,timeseries,test,ucr,g335,23,0.0655,COPOD,ECOD,0.6337,0.1898,0.0255,0.4438,0.9197,live,COPOD|ECOD|LOF_k10|LOF_k20|PCA,0.8700571428571429,0.8167428571428572,0.8700571428571429,True,False
223_UCR_Anomaly_mit14046longtermecg_74123_131200_131700.txt,timeseries,test,ucr,g336,23,0.0655,ECOD,COPOD,0.7853,0.1802,0.0279,0.6051,0.9378,live,ECOD|COPOD|LOF_k20|LOF_k10|LOF_k50,0.6845142857142856,0.5510857142857143,0.6845142857142856,False,True
228_MGAB_id_4_Synthetic_tr_25000_1st_38948.csv,timeseries,dev,tsbad_u,g145,23,0.0694,LOF_k3,LOF_k10,0.2421,0.0446,0.0043,0.1975,0.6639,live,LOF_k3|LOF_k10|LOF_k20|KNN_k3|LOF_k50,0.5465192465192465,0.6087360087360087,0.6087360087360087,False,True
228_UCR_Anomaly_mit14134longtermecg_11361_47830_47850.txt,timeseries,test,ucr,g337,23,0.0119,COPOD,HBOS_b5,0.1157,0.0531,0.0262,0.0626,0.8663,live,COPOD|HBOS_b5|LOF_k20|IF_n50|HBOS_b50,,,,False,False
229_MGAB_id_5_Synthetic_tr_25000_1st_33098.csv,timeseries,dev,tsbad_u,g146,23,0.0593,LOF_k3,LOF_k10,0.2254,0.03,-0.0013,0.1955,0.7095,live,LOF_k3|LOF_k10|LOF_k20|KNN_k3|KNN_k10,0.4976348465935221,0.5458905459562446,0.5458905459562446,False,True
230_MGAB_id_6_Synthetic_tr_25000_1st_42441.csv,timeseries,dev,tsbad_u,g147,23,0.0751,LOF_k3,LOF_k10,0.3827,0.0425,-0.0093,0.3402,0.7545,live,LOF_k3|LOF_k10|LOF_k20|KNN_k3|PCA_c0.3,0.4815656565656565,0.4954545454545454,0.4954545454545454,False,True
239_UCR_Anomaly_taichidbS0715Master_190037_593450_593514.txt,timeseries,test,ucr,g356,23,0.12,KNN_k100,LOF_k100,0.8306,0.3674,0.0243,0.4632,0.9501,live,KNN_k100|LOF_k100|KNN_k50|KNN_k20|KNN_k10,0.9205,0.917625,0.9205,True,False
23_mammography,tabular,dev,adbench_dami,g143,36,0.1003,ECOD,COPOD,0.3285,0.1617,0.0473,0.1668,0.835,live,ECOD|COPOD|HBOS_b5|LODA_b20|KNN_k3,0.8776409842111734,0.8352096102846907,0.8776409842111734,True,False
240_UCR_Anomaly_taichidbS0715Master_240030_884100_884200.txt,timeseries,test,ucr,g357,23,0.1379,KNN_k3,LOF_k10,0.3769,0.0903,-0.0115,0.2866,0.7133,live,KNN_k3|LOF_k10|LOF_k3|CBLOF|IForest,0.7438,0.8641,0.8641,True,False
242_UCR_Anomaly_tilt12744mtable_100000_104630_104890.txt,timeseries,test,ucr,g358,23,0.0404,ECOD,LOF_k20,0.0957,0.0031,-0.011,0.0926,0.6724,floor,ECOD|LOF_k20|COPOD|IF_n50|LOF_k3,,,,False,False
244_UCR_Anomaly_tilt12754table_100013_104630_104890.txt,timeseries,test,ucr,g359,23,0.0404,ECOD,LOF_k20,0.1948,0.0661,0.0005,0.1287,0.8015,live,ECOD|LOF_k20|LOF_k10|LOF_k3|PCA,0.682952380952381,0.6327619047619047,0.682952380952381,False,True
247_UCR_Anomaly_tilt12755mtable_50211_121900_121980.txt,timeseries,test,ucr,g360,23,0.0177,LOF_k100,IForest,0.0446,0.021,0.0011,0.0236,0.8408,floor,LOF_k100|IForest|LOF_k20|PCA_c0.3|LOF_k50,,,,False,False
248_UCR_Anomaly_weallwalk_2000_4702_4707.txt,timeseries,test,ucr,g364,23,0.0459,LOF_k3,LOF_k10,0.5443,0.0951,0.0064,0.4492,0.9019,live,LOF_k3|LOF_k10|LOF_k20|PCA_c0.9|PCA,0.5173076923076924,0.3519230769230769,0.5173076923076924,False,True
249_UCR_Anomaly_weallwalk_2753_8285_8315.txt,timeseries,test,ucr,g365,23,0.0441,LOF_k10,LOF_k20,0.0347,-0.002,-0.012,0.0367,0.6064,floor,LOF_k10|LOF_k20|LOF_k3|LOF_k50|KNN_k3,,,,False,False
250_UCR_Anomaly_weallwalk_2951_7290_7296.txt,timeseries,test,ucr,g366,23,0.0373,LOF_k3,LOF_k10,0.0261,-0.0031,-0.0124,0.0292,0.5919,floor,LOF_k3|LOF_k10|LOF_k20|IF_n50|HBOS_b50,,,,False,False
25_musk,tabular,dev,adbench_dami,g159,36,0.0974,CBLOF,KNN_k200,1.0,0.931,0.3428,0.069,1.0,live,CBLOF|KNN_k200|PCA_c0.9|PCA_c0.7|PCA_c0.3,0.9686446037099494,1.0,1.0,True,False
26_optdigits,tabular,dev,adbench_dami,g177,35,0.1152,KNN_k3,LOF_k3,0.9723,0.4757,0.0075,0.4966,0.9984,live,KNN_k3|LOF_k3|LOF_k10|KNN|LOF,0.5017488494411572,0.8785141354372124,0.8785141354372124,True,False
27_PageBlocks,tabular,dev,adbench_dami,g180,36,0.2376,LOF,LOF_k35,0.7291,0.3374,-0.0529,0.3917,0.9248,live,LOF|LOF_k35|LOF_k50|LOF_k10|HBOS_b50,0.8996690230440314,0.7401464206340855,0.8996690230440314,True,False
28_pendigits,tabular,dev,adbench_dami,g183,35,0.085,KNN_k3,KNN,0.99,0.6179,0.3303,0.3721,0.9988,live,KNN_k3|KNN|LOF_k10|KNN_k10|LOF_k3,0.909728908969706,0.933175320346641,0.933175320346641,True,False
