corpus,dataset,reg_udr,reg_matched,reg_em,reg_random,truefam
ovrbench,PhysicsTraining,0.14169202050813826,0.1634676132235675,0.1470701520083105,0.120895781512329,local
ovrbench,volkert,0.021488909237271314,0.267499754337892,0.1053885760599153,0.2996699173961554,global
ovrbench,FireRiskAnalysis,0.03438046586732152,0.0247855201537488,0.0456302974187972,0.1118480392987289,global
adbench,30_satellite,0.5084335893093102,0.1860515140258525,0.3363926552283261,0.4061393764378956,global
oddbench,AttackIncidents,0.09993505019142936,0.0346585494111412,0.0346585494111412,0.06286957930723,local
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,0.5000138925493327,0.0787247479641788,0.1060068422028998,0.3566264925021657,local
ovrbench,RealEstateData,0.6061158644662431,0.2034840212845505,0.2034840212845505,0.5181998289362074,global
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,0.20413641410334113,0.0,0.0421764730117541,0.1331556669834549,local
oddbench,RacingMotion,0.7435639394303382,0.9391296238090816,0.9391296238090816,0.490459746005953,local
ovrbench,CryptojackingSystem,0.3093716220143148,0.0380697429721892,0.3098955000917445,0.2716755645196193,local
oddbench,LandShapeAnomaly,-0.02020702531203769,0.0,0.0,0.1243964415085515,global
ovrbench,CreditScoringAnomalies,0.3107447618084999,0.2291441220924552,0.3449406910975021,0.2533405309185063,local
ovrbench,XSSDetection,0.10189725741958022,0.6609194456633171,0.0583345731254688,0.5468507089820402,global
ovrbench,NetworkHealthMonitor,0.10441740682794781,0.0492682469170519,0.0945417471941545,0.0637069506628646,local
oddbench,OkCupidUserBehavior,0.04433174320514742,0.0390084893682385,0.0277630324242884,0.0278315292130885,local
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,0.20552963040927902,0.0,0.0925233696462286,0.1637469419997797,local
ovrbench,KDD,0.037830215717809285,0.0110817295035018,0.0247752507512065,0.0773777970526785,global
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,0.08211042072104037,0.0164648149765341,0.0525878652938817,0.0792496766162246,local
oddbench,PoliceForceDisturbance,0.5021635930077997,0.3709438884193876,0.5682951306523132,0.3612328839378211,local
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,0.13544317032934342,0.0014848209479332,0.0566662926688433,0.106741708765194,local
ovrbench,WebpageSessionIntrusion,0.19496362536907397,0.1495045330961514,0.1810210701450518,0.1416872554760949,local
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,0.10929016397057872,0.1287585235701099,0.0942135803862977,0.0852017865424687,global
ovrbench,UrlAnalysis,0.20605364724853387,0.1491726598264051,0.1380362119837001,0.3224354720139427,global
oddbench,CourseRegistration,0.40391046016898036,0.2084009519186615,0.2084009519186615,0.2618582967479895,local
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,0.060850803546949904,0.0,0.0133291381727808,0.0413777617076715,local
dami,Annthyroid,0.2777706249015976,0.0,0.2945100225309301,0.3254153682357678,global
oddbench,GPUResourceUsage,0.46121819040114365,0.5518954438551077,0.5240533414224882,0.4932474296158925,local
ovrbench,KenyaMovement,0.07118778731919903,0.0738478743517131,0.0707709115277836,0.0449008438339795,local
