corpus,dataset,dip_frac,mean_dip,bc_frac,gmm_k,silh,dip_proj_frac,dip_proj_minp,bestdir_p
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,0.625,0.032291940483281246,0.625,14,0.558231462785913,0.43333333333333335,0.0,0.0
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,0.75,0.025637365435228644,0.5,11,0.537937127003188,0.31666666666666665,0.0,0.0
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,0.8125,0.04887643723735874,0.3125,14,0.49186941632559067,0.5666666666666667,0.0,0.0
ovrbench,TwitterEmotion,0.15384615384615385,0.009905382324017912,0.46153846153846156,9,0.13670560951394642,0.0,0.24442115359777594,0.8311762235825545
oddbench,TreadmillStatus,1.0,0.046302757571607074,0.2857142857142857,13,0.4296071049427786,0.7,0.0,0.0
tsbad_m,137_CreditCard_id_1_Finance_tr_500_1st_5,0.07758620689655173,0.008295783552294033,0.25,7,0.3267157184374225,0.0,0.597539168104197,0.9721977847894325
ovrbench,BCellImmunity,0.4,0.023716613902077875,0.4,15,0.22729387284801061,0.0,0.1417753599753092,0.9561551418091144
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,0.875,0.07123082597558356,0.75,10,0.6004332795201316,0.55,0.0,0.0
ovrbench,GesturePhaseSegmentationProcessed,0.0,0.0037784209638306327,0.125,8,0.4146517424166591,0.0,0.9725892653336711,0.9918089723608248
ovrbench,SpatialAnomalies,0.0,0.005526062192129364,0.0,2,0.16887235741517148,0.0,0.7486448060383748,0.9746828560414873
oddbench,AttackIncidents,1.0,0.059169123847885724,0.5,13,0.3738472554550849,0.35,0.0,0.0
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,0.75,0.03760885014213504,0.75,15,0.4488993281891319,0.48333333333333334,0.0,4.473433455332021e-06
ovrbench,BreastCancer,1.0,0.0465625,0.5,11,0.3534264392805573,0.0,0.0996655393668886,0.9753018681606238
oddbench,WaterPointFunctionality,0.38461538461538464,0.022104776121582223,0.38461538461538464,14,0.26194736138951136,0.03333333333333333,0.0,0.0
oddbench,WaterChemistry,0.2,0.008527820244725863,0.76,15,0.5382530240364308,0.0,0.7150340611697962,0.9977709093502256
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,0.875,0.08958197912638756,0.75,12,0.5834131721887086,0.5166666666666667,0.0,0.0
ovrbench,RealEstateData,0.75,0.025215480636708885,0.75,8,0.2240372150745777,0.16666666666666666,0.0,0.0
dami,Annthyroid,0.6190476190476191,0.026669391620284477,0.7619047619047619,15,0.28250104464346576,0.1,0.0,0.9867741069625147
oddbench,EmailSpamDetection,0.3611111111111111,0.024429812420394898,0.6111111111111112,10,0.48061094706905577,0.0,0.6049841574491611,0.9968244389023664
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,0.625,0.06389705911407348,0.5,15,0.4787287582061934,0.4,0.0,0.0
oddbench,FishingAnomalies,1.0,0.03515201585983995,1.0,13,0.5257340049341913,1.0,0.0,8.648978000092011e-05
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,0.875,0.08634350013883567,0.625,13,0.5528972486665691,0.6666666666666666,0.0,0.0
oddbench,AquaticMacroInverts,0.4782608695652174,0.01962507809937358,0.43478260869565216,8,0.2649694393258093,0.016666666666666666,0.028304408595089425,0.9989576487815083
ovrbench,ShillBidding,1.0,0.067194559498637,0.875,14,0.25400540542086164,0.15,0.0,0.0
oddbench,ArtSalesPlatform,0.5,0.017256427624894953,1.0,14,0.6053785454527411,0.45,0.0,0.6241790712359832
ovrbench,KDD,0.71875,0.03657234694425076,0.78125,11,0.8855570746725632,0.0,0.5272045616497789,0.0
ovrbench,page-blocks,0.1,0.016245586111111113,0.6,15,0.5907788162508036,0.0,0.5890510924794399,0.7171486302252548
