corpus,dataset,truefam,reg_random,reg_beta1,reg_matched,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,local,0.12088156027702764,0.0,0.0,0.06846211554376634,0.06846211554376634,0.1886674608507532,0.1886674608507532,0.1886674608507532
oddbench,ProsperLoan,local,0.06021573758343603,0.009945144404210987,0.05691983098464438,0.04288306726616245,0.05691983098464438,0.05509345400994496,0.05509345400994496,0.02184599875499664
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,local,0.01395774115673808,0.002976651286634463,0.002976651286634463,0.0032837651068226906,0.0032837651068226906,0.022818815825684777,0.022818815825684777,0.022818815825684777
ovrbench,JobChangePatterns,global,0.3218545916379797,0.31867362001445065,0.18077744002551774,0.31867362001445065,0.31867362001445065,0.2449865397775863,0.2449865397775863,0.2449865397775863
ovrbench,TrafficSensor,local,0.5728269467996715,0.04001194767990812,0.04001194767990812,0.05625670182485032,0.05625670182485032,0.5593566790693507,0.5593566790693507,0.5593566790693507
ovrbench,PokemonBattle,local,0.18091305440370248,0.00500450954297299,0.09473114414180797,0.09473114414180797,0.09473114414180797,0.18211864846275022,0.18211864846275022,0.18211864846275022
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,local,0.039194361843366776,0.03373461753512227,0.03373461753512227,0.008296869993336273,0.0036149401878406845,0.03849768974159777,0.03849768974159777,0.0028426944037953927
ovrbench,RealEstateListings,local,0.1147175850102821,0.1440009715979066,0.1440009715979066,0.17027656418521886,0.17027656418521886,0.08534733169987954,0.08534733169987954,0.08534733169987954
oddbench,BuildingInspections,global,0.23366177418145562,0.18904614220708357,0.18904614220708357,0.31857839049415626,0.31857839049415626,0.3200070786533453,0.3200070786533453,0.3200070786533453
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,local,0.1237897258482205,0.009531369026063219,0.009531369026063219,0.10484402948025194,0.10484402948025194,0.15927303653364858,0.15927303653364858,0.15927303653364858
ovrbench,ViralProteinFunction,local,0.15336551912387608,0.2508512299709335,0.2508512299709335,0.13797002850855508,0.13797002850855508,0.10460611108216658,0.10460611108216658,0.10460611108216658
ovrbench,GeotechnicalAnomalies,local,0.17121969069879653,0.015816394719659385,0.2828099318296662,0.06648893579978653,0.06648893579978653,0.2477325349972867,0.2477325349972867,0.2477325349972867
