corpus,dataset,truefam,reg_small,reg_edge,reg_beta1,reg_random,rho_small,rho_edge,rho_beta1
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,local,0.4447250030771286,0.5000139816317685,0.018693934986316774,0.3110801769687478,0.30081091517569825,-0.7644484489638306,0.7889046209293344
ovrbench,FICO-HELOC-cleaned,local,0.09212257487878558,0.07608965187013086,0.2055028599576837,0.08483697127416498,-0.031719368537921365,-0.35406162464986,0.009243697478991597
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,local,0.1761728277312165,0.15860234330844014,0.0,0.11522031945676008,0.44651821341227954,-0.3165143519114429,0.4990346247908353
oddbench,TrialBehavior,global,0.2042263170681778,0.11056045466162352,0.16290222709948066,0.16240062379621764,0.43241054266695567,0.12188288035864388,-0.04959372373213785
ovrbench,compass,global,0.19852519853924896,0.1715126601938505,0.1835129055048486,0.12078468628961636,-0.6318502454535918,-0.5773487773487774,0.3361647361647362
ovrbench,KickstarterCampaigns,global,0.12054151338928289,0.1318956345911697,0.11194635573018535,0.17104071404244264,-0.2792020364346295,-0.6378915202444613,-0.07318563789152024
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,global,0.11600491302014004,0.05734778498139981,0.20135496545106774,0.16780903485010756,0.8385741318974645,0.6546218487394958,-0.4064425770308124
adbench,19_landsat,local,0.22707660673950536,0.7528310283520117,0.003688256737989337,0.42250714256316496,0.38702899565765514,-0.8578038008776119,0.8209833309987392
ovrbench,SpatialAnomalies,local,0.5907935262638044,0.6354231947898199,0.024233207002364976,0.46334404880109353,-0.6549019607843137,-0.8033613445378153,0.9240896358543418
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,local,0.18212913777784365,0.1714543043923379,0.0,0.11301308603899499,-0.33520100854461404,-0.8263062053508895,0.8263062053508895
oddbench,RulePriorityAnomalies,global,0.12917459288616906,0.11786536590388479,0.0048077598317112225,0.1061325670772096,-0.3395797734986075,-0.06629336436463944,0.7608443815162826
oddbench,WaterChemistry,local,0.6877206905145683,0.5517619094038633,0.0,0.4921145058608802,-0.4586446037364668,-0.24572016990603682,0.30595958295790965
ovrbench,EmployeePerformance,local,0.359164846143873,0.4279858470044612,0.0913918702608651,0.4774474256912509,0.29196362382329355,-0.32679647009385066,0.47079422888359707
ovrbench,SepsisMonitoring,local,0.1248329728815948,0.13328881679795157,0.11655867615474362,0.06558970644036224,-0.1944714713014832,-0.1020723396279067,0.5665379665379666
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,global,0.03796851366855139,0.03796851366855139,0.08361958283459373,0.09943775568904858,0.030646407416945656,0.12258562966778262,0.06309554468194695
ovrbench,BatchProcessingEvents,local,0.06256843067894995,0.035684048244645335,0.058397221162120004,0.055580090367463975,-0.06747507189264632,-0.05019951129241313,-0.02831402831402832
ovrbench,PhysicsTraining,local,0.16629137032323593,0.1530293422741793,0.1837829312643468,0.11753647219706746,-0.6153752653840836,-0.7261261261261261,0.2084942084942085
ovrbench,volkert,global,0.3004155224549792,0.2998931951892692,0.267499754337892,0.2823404089067781,-0.3030918095542185,0.35227492189556514,-0.3516087516087516
