corpus,dataset,reg_ifr,reg_matched,reg_beta1,reg_em,reg_mv,truefam
ovrbench,RealEstateListings,0.06516267514600153,0.1440009715979066,0.1440009715979066,0.1702765641852188,0.1702765641852188,local
oddbench,BuildingInspections,0.2588795736666312,0.1890461422070835,0.1890461422070835,0.3185783904941562,0.3185783904941562,global
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,0.16154502058264067,0.0095313690260632,0.0095313690260632,0.1048440294802519,0.1048440294802519,local
ovrbench,ViralProteinFunction,0.0964317030913969,0.2508512299709335,0.2508512299709335,0.137970028508555,0.137970028508555,local
ovrbench,GeotechnicalAnomalies,0.22165941746176415,0.2828099318296662,0.0158163947196593,0.0664889357997865,0.0664889357997865,local
ovrbench,BreastCancer,0.08064756640972094,0.128898241793699,0.0,0.0,0.0,global
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,0.15554945996507696,0.0209828166860516,0.0209828166860516,0.0219689049987023,0.0219689049987023,local
oddbench,ProtestViolence,0.5411537867246147,0.8650689069673555,0.8650689069673555,0.0,0.0,global
ovrbench,UserMovieInteractions,0.32799827943911464,0.3382071412758108,0.1542808185668756,0.1542808185668756,0.1542808185668756,global
ovrbench,Word2VecPCA,0.13802847666607296,0.148701077065516,0.1637465054827575,0.148701077065516,0.148701077065516,global
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,0.15136728459968526,0.0027862784594125,0.0027862784594125,0.1208041119486538,0.1208041119486538,local
ovrbench,TextAnomalyDetection,0.1276324635200369,0.0304377573142765,0.0304377573142765,0.1110341102644589,0.1110341102644589,global
ovrbench,BNG(cmc),0.35203180480450735,0.0,0.3096169644135075,0.2455088132212206,0.298709581005822,global
oddbench,GlobalTerrorismAttack,0.6053962547667345,0.6227314669624484,0.6227314669624484,0.4750211723304574,0.6227314669624484,global
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,0.4393932877507829,0.0186939349863167,0.0186939349863167,0.1032369741365994,0.1032369741365994,local
ovrbench,FICO-HELOC-cleaned,0.14235305515650137,0.1118140010419105,0.2116984993897921,0.2116984993897921,0.2116984993897921,local
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,0.08838071212125972,0.0,0.0,0.0474038303615321,0.0983091824050025,local
oddbench,TrialBehavior,0.17465132895182664,0.1810947281050813,0.1629022270994806,0.1629022270994806,0.1629022270994806,global
ovrbench,compass,0.13892267345084303,0.1619724184342568,0.1653268874504332,0.2251850891572383,0.2251850891572383,local
ovrbench,KickstarterCampaigns,0.15686731199033013,0.1978275639294279,0.1978275639294279,0.2177768427904122,0.204383048784481,local
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,0.06587066429174343,0.2013549654510677,0.2013549654510677,0.1947743238556553,0.1947743238556553,global
adbench,19_landsat,0.5877982634246011,0.0036882567379893,0.0036882567379893,0.159055521462475,0.159055521462475,local
ovrbench,SpatialAnomalies,0.6107426757897245,0.0242332070023649,0.0242332070023649,0.3444706978138131,0.0910478293646929,local
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,0.15404961855779412,0.0,0.0,0.0248948614845714,0.0248948614845714,local
oddbench,RulePriorityAnomalies,0.09414843776758279,0.0048077598317112,0.0048077598317112,0.010307235059453,0.0173737480411229,global
oddbench,WaterChemistry,0.4732264384460414,0.0,0.0,0.5633167528918326,0.5633167528918326,local
ovrbench,EmployeePerformance,0.4518639007776012,0.5418070193718372,0.0913918702608651,0.0913918702608651,0.0913918702608651,local
ovrbench,SepsisMonitoring,0.05045020604570463,0.073573511331233,0.1165586761547436,0.0605830337026139,0.0596231295977431,local
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,0.13614073685623831,0.0836195828345937,0.0836195828345937,0.0888331062521965,0.0888331062521965,global
ovrbench,BatchProcessingEvents,0.0871400343188521,0.0787113952130203,0.05839722116212,0.0787113952130203,0.0734682975624079,local
ovrbench,PhysicsTraining,0.1434049807695999,0.1634676132235675,0.1837829312643468,0.1470701520083105,0.1470701520083105,local
ovrbench,volkert,0.13263090855833015,0.267499754337892,0.267499754337892,0.1053885760599153,0.1053885760599153,global
ovrbench,FireRiskAnalysis,0.08596521429900932,0.0247855201537488,0.0245079032263993,0.0456302974187972,0.0456302974187972,global
adbench,30_satellite,0.5392713465797502,0.1860515140258525,0.1860515140258525,0.3363926552283261,0.3363926552283261,global
oddbench,AttackIncidents,0.10072810115070893,0.0346585494111412,0.0346585494111412,0.0346585494111412,0.0346585494111412,local
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,0.5005626814328384,0.0787247479641788,0.0787247479641788,0.1060068422028998,0.1060068422028998,local
ovrbench,RealEstateData,0.523173778872797,0.2034840212845505,0.2034840212845505,0.2034840212845505,0.2034840212845505,global
