modality,seed,dataset,regret,pick,true_best,best_auc,pick_auc,rand_regret,best_regime,best_regime_regret,category,regret_hard_K30,regret_hard_K50,regret_random_K30,regret_random_K50,regret_smallest_K30,regret_smallest_K50,rho_hard_K30,rho_hard_K50,rho_random_K30,rho_random_K50,rho_smallest_K30,rho_smallest_K50
nlp,3,amazon,0.021926315789473794,LOF,KNN,0.6050800000000001,0.5831536842105263,0.03523754385964917,smallest_K50,0.0,weighting_failure,0.021926315789473794,0.021926315789473794,0.021926315789473794,0.021926315789473794,0.023661052631579027,0.0,0.5833333333333334,0.65,0.6333333333333333,0.7999999999999999,0.7333333333333334,0.8333333333333333
nlp,3,imdb,0.0,LOF,LOF,0.5232147368421053,0.5232147368421053,0.030852163742690064,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.01589157894736848,0.024686315789473667,0.43333333333333335,0.11666666666666665,0.7333333333333334,0.7999999999999999,0.016666666666666666,0.35
nlp,3,yelp,0.0,LOF,LOF,0.6840094736842105,0.6840094736842105,0.07544467836257296,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.061416842105263214,0.08613157894736845,0.7833333333333333,0.75,0.7999999999999999,0.6333333333333333,0.7999999999999999,0.25
nlp,4,20news_0,0.0,LOF,LOF,0.7908108048414171,0.7908108048414171,0.1208857280285851,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.11955561445357366,0.0786509408958389,0.7833333333333333,0.6833333333333333,0.8166666666666667,0.5666666666666667,-0.33333333333333337,0.45
nlp,4,20news_1,0.0,LOF,LOF,0.5519497907949791,0.5519497907949791,0.03998140399814043,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0058577405857740406,0.0058577405857740406,0.7666666666666667,0.8166666666666667,0.8166666666666667,0.75,0.5833333333333334,0.5
nlp,4,20news_2,0.0,LOF,LOF,0.5239558573853991,0.5239558573853991,0.04153555932842867,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.8166666666666667,0.8499999999999999,0.6333333333333333,0.9166666666666666,0.7666666666666667,0.6666666666666667
nlp,4,20news_3,0.035327635327635276,LOF,CBLOF,0.6945868945868946,0.6592592592592593,0.044349477682811056,hard_K30,0.035327635327635276,flip,0.035327635327635276,0.035327635327635276,0.035327635327635276,0.035327635327635276,0.040455840455840386,0.040455840455840386,0.8166666666666667,0.9333333333333332,0.75,0.75,0.6333333333333333,0.6833333333333333
nlp,4,20news_4,0.012891986062717908,LOF,CBLOF,0.5654277971351143,0.5525358110723964,0.042233406461048784,hard_K30,0.012891986062717908,flip,0.012891986062717908,0.012891986062717908,0.012891986062717908,0.012891986062717908,0.06140147115756878,0.06140147115756878,0.6,0.6,0.5,0.5333333333333333,0.2833333333333333,0.03333333333333333
nlp,4,20news_5,0.022936193222782952,LOF,CBLOF,0.5663752703677001,0.5434390771449171,0.04408495553953373,hard_K30,0.022936193222782952,flip,0.022936193222782952,0.022936193222782952,0.022936193222782952,0.022936193222782952,0.05510994953136272,0.022936193222782952,0.6166666666666666,0.5666666666666667,0.4666666666666666,0.5166666666666667,-0.15,0.33333333333333337
nlp,4,agnews_0,0.0,LOF,LOF,0.6856726315789474,0.6856726315789474,0.12911415204678378,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.16452315789473693,0.08310000000000006,0.6,0.8333333333333333,0.8166666666666667,0.7333333333333334,-0.7833333333333333,0.19999999999999998
