dataset,aggregation,spearman_rho,kendall_tau,top1_hit,top3_hit_ratio,n_detectors,note,true_spread,seed
39_vertebral,mean,0.65,0.4444444444444444,0,0.3333333333333333,9,,0.18174603174603177,3
40_vowels,mean,0.9333333333333332,0.8333333333333334,1,1.0,9,,0.47262411347517724,3
41_Waveform,mean,-0.6333333333333333,-0.5,0,0.0,9,,0.21234678624813164,3
42_WBC,mean,0.41711570007178683,0.35355339059327373,0,0.6666666666666666,9,,0.05813953488372081,3
43_WDBC,mean,-0.6778302010921357,-0.5352643613280604,0,0.0,9,,0.04583333333333328,3
44_Wilt,mean,0.5,0.4444444444444444,0,0.6666666666666666,9,,0.5436986715876594,3
47_yeast,mean,-0.3666666666666667,-0.2777777777777778,0,0.0,9,,0.14288733244777202,3
6_cardio,mean,0.7833333333333333,0.6666666666666666,1,0.6666666666666666,9,,0.10383479813238106,3
14_glass,mean,0.6333333333333333,0.5,0,0.6666666666666666,9,,0.17344173441734412,4
18_Ionosphere,mean,0.33333333333333337,0.3888888888888889,0,0.6666666666666666,9,,0.24056437389770713,4
19_landsat,mean,0.8666666666666667,0.6666666666666666,0,0.6666666666666666,9,,0.40685293752429297,4
20_letter,mean,0.8833333333333333,0.7777777777777778,1,1.0,9,,0.36153333333333326,4
22_magic.gamma,mean,0.7333333333333334,0.5555555555555556,0,0.6666666666666666,9,,0.2083313130451142,4
23_mammography,mean,-0.31666666666666665,-0.3333333333333333,0,0.0,9,,0.08488734377750384,4
25_musk,mean,0.7572378034072855,0.6085806194501846,0,1.0,9,,0.10163244728012377,4
26_optdigits,mean,0.38095238095238104,0.14285714285714285,0,0.6666666666666666,8,,0.39666009204470754,4
27_PageBlocks,mean,0.15,0.05555555555555555,0,0.3333333333333333,9,,0.3467226604050013,4
28_pendigits,mean,0.9,0.7222222222222222,0,1.0,9,,0.10767130610764286,4
29_Pima,mean,0.45,0.3333333333333333,1,0.6666666666666666,9,,0.14526119402985072,4
30_satellite,mean,0.7999999999999999,0.6666666666666666,0,0.6666666666666666,9,,0.29276991427040544,4
31_satimage-2,mean,0.8833333333333333,0.7777777777777778,1,1.0,9,,0.034468362046735534,4
32_shuttle,mean,0.6333333333333333,0.5,0,0.6666666666666666,9,,0.4811308881702848,4
35_SpamBase,mean,0.25,0.1111111111111111,0,0.6666666666666666,9,,0.23349349203247738,4
36_speech,mean,0.41666666666666663,0.3888888888888889,1,0.6666666666666666,9,,0.06579988694177502,4
37_Stamps,mean,0.4100454302903043,0.3098898934004561,1,0.3333333333333333,9,,0.07336108220603543,4
38_thyroid,mean,0.43333333333333335,0.2777777777777778,0,0.3333333333333333,9,,0.10642385460495551,4
39_vertebral,mean,0.5499999999999999,0.3888888888888889,0,0.3333333333333333,9,,0.22460317460317458,4
40_vowels,mean,0.9333333333333332,0.8333333333333334,0,1.0,9,,0.4861702127659575,4
41_Waveform,mean,0.6428571428571429,0.6428571428571428,1,0.6666666666666666,8,,0.19983557548579967,4
42_WBC,mean,-0.6755244875897048,-0.5229763603684908,0,0.3333333333333333,9,,0.03953488372093028,4
43_WDBC,mean,-0.8767942266815112,-0.7660323462854265,0,0.0,9,,0.05972222222222223,4
