dataset,seed,contam,contam_label,regret,random_regret
31_satimage-2,0,0.05,0.050,0.002799710205435013,0.01455521855340125
31_satimage-2,0,0.0122350508357746,natural,0.002799710205435013,0.01455521855340125
31_satimage-2,1,0.0,0.000,0.0,0.013863477289192905
31_satimage-2,1,0.005,0.005,0.004488131930203809,0.013863477289192905
31_satimage-2,1,0.01,0.010,0.004488131930203809,0.013863477289192905
31_satimage-2,1,0.02,0.020,0.004488131930203809,0.013863477289192905
31_satimage-2,1,0.05,0.050,0.0,0.013863477289192905
31_satimage-2,1,0.0122350508357746,natural,0.004488131930203809,0.013863477289192905
31_satimage-2,2,0.0,0.000,0.004481992214840913,0.014058583799610447
31_satimage-2,2,0.005,0.005,0.004481992214840913,0.014058583799610447
31_satimage-2,2,0.01,0.010,0.004481992214840913,0.014058583799610447
31_satimage-2,2,0.02,0.020,0.0,0.014058583799610447
31_satimage-2,2,0.05,0.050,0.004481992214840913,0.014058583799610447
31_satimage-2,2,0.0122350508357746,natural,0.004481992214840913,0.014058583799610447
35_SpamBase,0,0.0,0.000,0.04404266138088009,0.11152112051974783
35_SpamBase,0,0.005,0.005,0.04404266138088009,0.11152112051974783
35_SpamBase,0,0.01,0.010,0.04404266138088009,0.11152112051974783
35_SpamBase,0,0.02,0.020,0.04404266138088009,0.11152112051974783
35_SpamBase,0,0.05,0.050,0.04404266138088009,0.11152112051974783
35_SpamBase,0,0.39909674352270025,natural,0.04404266138088009,0.11152112051974783
35_SpamBase,1,0.0,0.000,0.01502341173340993,0.1060948715997011
35_SpamBase,1,0.005,0.005,0.01502341173340993,0.1060948715997011
35_SpamBase,1,0.01,0.010,0.01502341173340993,0.1060948715997011
35_SpamBase,1,0.02,0.020,0.01502341173340993,0.1060948715997011
35_SpamBase,1,0.05,0.050,0.01502341173340993,0.1060948715997011
35_SpamBase,1,0.39909674352270025,natural,0.01502341173340993,0.1060948715997011
35_SpamBase,2,0.0,0.000,0.04484541664410635,0.13309467777707162
35_SpamBase,2,0.005,0.005,0.04484541664410635,0.13309467777707162
35_SpamBase,2,0.01,0.010,0.04484541664410635,0.13309467777707162
35_SpamBase,2,0.02,0.020,0.04484541664410635,0.13309467777707162
35_SpamBase,2,0.05,0.050,0.04484541664410635,0.13309467777707162
35_SpamBase,2,0.39909674352270025,natural,0.04484541664410635,0.13309467777707162
37_Stamps,0,0.0,0.000,0.030697190426638876,0.017053994681466067
37_Stamps,0,0.005,0.005,0.030697190426638876,0.017053994681466067
37_Stamps,0,0.01,0.010,0.030697190426638876,0.017053994681466067
37_Stamps,0,0.02,0.020,0.030697190426638876,0.017053994681466067
37_Stamps,0,0.05,0.050,0.030697190426638876,0.017053994681466067
37_Stamps,0,0.09117647058823529,natural,0.030697190426638876,0.017053994681466067
37_Stamps,1,0.0,0.000,0.03381893860561913,0.023528731645277023
37_Stamps,1,0.005,0.005,0.03381893860561913,0.023528731645277023
37_Stamps,1,0.01,0.010,0.03381893860561913,0.023528731645277023
37_Stamps,1,0.02,0.020,0.03381893860561913,0.023528731645277023
37_Stamps,1,0.05,0.050,0.03381893860561913,0.023528731645277023
37_Stamps,1,0.09117647058823529,natural,0.03381893860561913,0.023528731645277023
37_Stamps,2,0.0,0.000,0.02861602497398552,0.015666551046363608
37_Stamps,2,0.005,0.005,0.00572320499479706,0.015666551046363608
37_Stamps,2,0.01,0.010,0.02861602497398552,0.015666551046363608
37_Stamps,2,0.02,0.020,0.02861602497398552,0.015666551046363608
37_Stamps,2,0.05,0.050,0.00572320499479706,0.015666551046363608
37_Stamps,2,0.09117647058823529,natural,0.00572320499479706,0.015666551046363608
38_thyroid,0,0.0,0.000,0.015559256661991538,0.03039939483663201
38_thyroid,0,0.005,0.005,0.015559256661991538,0.03039939483663201
38_thyroid,0,0.01,0.010,0.015559256661991538,0.03039939483663201
38_thyroid,0,0.02,0.020,0.015559256661991538,0.03039939483663201
38_thyroid,0,0.05,0.050,0.015559256661991538,0.03039939483663201
38_thyroid,0,0.024655355249204668,natural,0.015559256661991538,0.03039939483663201
38_thyroid,1,0.0,0.000,0.01682298971481999,0.026307074957144794
38_thyroid,1,0.005,0.005,0.01682298971481999,0.026307074957144794
38_thyroid,1,0.01,0.010,0.01682298971481999,0.026307074957144794
38_thyroid,1,0.02,0.020,0.01682298971481999,0.026307074957144794
38_thyroid,1,0.05,0.050,0.01682298971481999,0.026307074957144794
38_thyroid,1,0.024655355249204668,natural,0.01682298971481999,0.026307074957144794
38_thyroid,2,0.0,0.000,0.011782667134174862,0.02897414420030142
38_thyroid,2,0.005,0.005,0.011782667134174862,0.02897414420030142
38_thyroid,2,0.01,0.010,0.011782667134174862,0.02897414420030142
38_thyroid,2,0.02,0.020,0.011782667134174862,0.02897414420030142
38_thyroid,2,0.05,0.050,0.011782667134174862,0.02897414420030142
38_thyroid,2,0.024655355249204668,natural,0.011782667134174862,0.02897414420030142
39_vertebral,0,0.0,0.000,0.10396825396825388,0.11181657848324505
39_vertebral,0,0.005,0.005,0.023809523809523725,0.11181657848324505
39_vertebral,0,0.01,0.010,0.023809523809523725,0.11181657848324505
39_vertebral,0,0.02,0.020,0.023809523809523725,0.11181657848324505
39_vertebral,0,0.05,0.050,0.13492063492063489,0.11181657848324505
39_vertebral,0,0.125,natural,0.10396825396825388,0.11181657848324505
39_vertebral,1,0.0,0.000,0.11349206349206353,0.12636684303350976
39_vertebral,1,0.005,0.005,0.09761904761904766,0.12636684303350976
39_vertebral,1,0.01,0.010,0.09761904761904766,0.12636684303350976
39_vertebral,1,0.02,0.020,0.11349206349206353,0.12636684303350976
39_vertebral,1,0.05,0.050,0.09761904761904766,0.12636684303350976
39_vertebral,1,0.125,natural,0.11349206349206353,0.12636684303350976
39_vertebral,2,0.0,0.000,0.12222222222222229,0.10255731922398592
39_vertebral,2,0.005,0.005,0.04444444444444451,0.10255731922398592
39_vertebral,2,0.01,0.010,0.14841269841269844,0.10255731922398592
39_vertebral,2,0.02,0.020,0.12222222222222229,0.10255731922398592
39_vertebral,2,0.05,0.050,0.12222222222222229,0.10255731922398592
39_vertebral,2,0.125,natural,0.09761904761904772,0.10255731922398592
40_vowels,0,0.0,0.000,0.0,0.24665878644602046
40_vowels,0,0.005,0.005,0.0,0.24665878644602046
40_vowels,0,0.01,0.010,0.0,0.24665878644602046
40_vowels,0,0.02,0.020,0.01631205673758862,0.24665878644602046
40_vowels,0,0.05,0.050,0.0,0.24665878644602046
40_vowels,0,0.034340659340659344,natural,0.0,0.24665878644602046
40_vowels,1,0.0,0.000,0.0,0.2097005516154452
40_vowels,1,0.005,0.005,0.0028368794326240065,0.2097005516154452
40_vowels,1,0.01,0.010,0.0,0.2097005516154452
40_vowels,1,0.02,0.020,0.0,0.2097005516154452
40_vowels,1,0.05,0.050,0.0,0.2097005516154452
40_vowels,1,0.034340659340659344,natural,0.0,0.2097005516154452
40_vowels,2,0.0,0.000,0.00773049645390067,0.21982663514578404
40_vowels,2,0.005,0.005,0.00773049645390067,0.21982663514578404
40_vowels,2,0.01,0.010,0.0,0.21982663514578404
40_vowels,2,0.02,0.020,0.0,0.21982663514578404
40_vowels,2,0.05,0.050,0.0,0.21982663514578404
