dataset,aggregation,spearman_rho,kendall_tau,top1_hit,top3_hit_ratio,n_detectors,note,K,selection,seed,true_spread
47_yeast,varweight,0.8060606060606059,0.6,0,0.6666666666666666,10,,30,random,0,0.12056716177595295
6_cardio,borda,-0.19999999999999998,-0.15555555555555553,0,0.0,10,,30,random,0,0.12462235649546827
6_cardio,mean,-0.05454545454545454,-0.06666666666666667,0,0.0,10,,30,random,0,0.12462235649546827
6_cardio,varweight,0.06666666666666665,0.022222222222222223,0,0.0,10,,30,random,0,0.12462235649546827
14_glass,borda,0.6443798763008685,0.4944132324730442,1,0.6666666666666666,10,,30,smallest,0,0.5501355013550135
14_glass,mean,0.7333333333333332,0.6,1,0.6666666666666666,10,,30,smallest,0,0.5501355013550135
14_glass,varweight,0.7333333333333332,0.6,1,0.6666666666666666,10,,30,smallest,0,0.5501355013550135
18_Ionosphere,borda,0.6484848484848483,0.5555555555555555,0,0.6666666666666666,10,,30,smallest,0,0.21516754850088182
18_Ionosphere,mean,0.6363636363636362,0.5111111111111111,0,0.6666666666666666,10,,30,smallest,0,0.21516754850088182
18_Ionosphere,varweight,0.6363636363636362,0.5111111111111111,0,0.6666666666666666,10,,30,smallest,0,0.21516754850088182
19_landsat,borda,0.7212121212121211,0.5111111111111111,0,0.6666666666666666,10,,30,smallest,0,0.4071020203630732
19_landsat,mean,0.7333333333333332,0.5555555555555555,0,0.6666666666666666,10,,30,smallest,0,0.4071020203630732
19_landsat,varweight,0.709090909090909,0.5555555555555555,1,0.6666666666666666,10,,30,smallest,0,0.4071020203630732
20_letter,borda,0.49372817116587664,0.36623351038235713,1,1.0,9,,30,smallest,0,0.399
20_letter,mean,0.45,0.3333333333333333,1,0.6666666666666666,9,,30,smallest,0,0.399
20_letter,varweight,0.38333333333333336,0.2222222222222222,1,0.6666666666666666,9,,30,smallest,0,0.399
22_magic.gamma,borda,0.9757575757575757,0.911111111111111,1,1.0,10,,30,smallest,0,0.20104772955161232
22_magic.gamma,mean,0.9515151515151514,0.8666666666666666,0,1.0,10,,30,smallest,0,0.20104772955161232
22_magic.gamma,varweight,0.9151515151515152,0.7777777777777777,0,1.0,10,,30,smallest,0,0.20104772955161232
23_mammography,borda,-0.11515151515151514,-0.06666666666666667,0,0.0,10,,30,smallest,0,0.09106935398697413
23_mammography,mean,-0.11515151515151514,-0.06666666666666667,0,0.0,10,,30,smallest,0,0.09106935398697413
23_mammography,varweight,-0.11515151515151514,-0.06666666666666667,0,0.0,10,,30,smallest,0,0.09106935398697413
25_musk,borda,0.6271129383201788,0.579545525280815,0,0.6666666666666666,10,,30,smallest,0,0.04961666174092949
25_musk,mean,0.6271129383201788,0.579545525280815,0,0.6666666666666666,10,,30,smallest,0,0.04961666174092949
