modality,seed,dataset,regret,top1_agree,rank_margin,inter_regime_rho,rand_regret,best_is_local
tabular,4,26_optdigits,0.0015351742274819502,0.6666666666666666,0.13798757671369696,0.6857142857142856,0.18596277120315585,True
tabular,4,27_PageBlocks,0.0,0.6666666666666666,0.12197336441334594,0.2755555555555555,0.10749961533572816,True
tabular,4,28_pendigits,0.006500945071309938,1.0,0.1250000000000001,0.972222222222222,0.04199786589957866,True
tabular,4,29_Pima,0.0,0.3333333333333333,0.028448122760690753,0.12888888888888891,0.058461857379767834,False
tabular,4,30_satellite,0.02854974102518304,1.0,0.24056569565444663,0.9066666666666664,0.11562689145879224,True
tabular,4,31_satimage-2,0.003708388079128544,0.5,0.04123498722892971,0.8588888888888889,0.013246776990529785,True
tabular,4,32_shuttle,0.0,0.8333333333333334,0.09055050155389388,0.6877777777777777,0.010307450984900046,True
tabular,4,35_SpamBase,0.03163408955547131,0.5,0.16145219507355835,0.16777777777777778,0.11120998419338535,False
tabular,4,36_speech,0.0,0.6666666666666666,0.2245644342349511,0.4844444444444444,0.0289177815463853,True
tabular,4,37_Stamps,0.032258064516129004,0.3333333333333333,0.02113280212327484,0.928888888888889,0.021158515435310554,True
tabular,4,38_thyroid,0.014032550257129461,1.0,0.125,0.7833333333333334,0.027039179782868406,False
tabular,4,39_vertebral,0.11111111111111116,0.6666666666666666,0.1845174476376401,0.6633333333333332,0.14365079365079364,True
tabular,4,40_vowels,0.007659574468085184,0.8333333333333334,0.1280841132886098,0.9433333333333331,0.22211189913317575,True
tabular,4,41_Waveform,0.0,0.6666666666666666,0.18543064262322217,0.3066666666666667,0.08555680119581466,True
tabular,4,42_WBC,0.0,0.6666666666666666,0.09809120103230173,0.7300000000000002,0.005426356589147252,True
tabular,4,43_WDBC,0.008333333333333304,0.3333333333333333,0.00912326307090161,0.1011111111111111,0.01327160493827162,True
tabular,4,44_Wilt,0.10581697145852587,0.8333333333333334,0.12935867093904418,0.6522222222222224,0.37922921493780803,True
tabular,4,47_yeast,0.03960874290544614,0.8333333333333334,0.14047105896288714,0.7088888888888889,0.08053241020273982,True
tabular,4,6_cardio,0.03283781928041751,0.8333333333333334,0.12028097420291706,0.7866666666666666,0.039234156138423515,False
cv,0,CIFAR10_0,0.019315589353612106,0.6666666666666666,0.11655683000055439,0.44666666666666666,0.034843683988170726,True
cv,0,CIFAR10_1,0.0,0.6666666666666666,0.06878546397409557,0.4100000000000001,0.16029277566539923,True
cv,0,CIFAR10_2,0.0,0.6666666666666666,0.11494920302108813,0.7088888888888891,0.053513307984790925,True
cv,0,CIFAR10_3,0.0,0.6666666666666666,0.1830238593221627,0.5244444444444445,0.10268678707224344,True
cv,0,CIFAR10_4,0.019334600760456233,0.8333333333333334,0.13378206008464033,0.4299999999999999,0.03206590621039285,True
cv,0,CIFAR10_5,0.0,1.0,0.16094866802786312,0.7688888888888888,0.09069919729615539,True
cv,0,CIFAR10_6,0.0,0.6666666666666666,0.07463330853431682,0.23333333333333334,0.06912463033375582,True
cv,0,CIFAR10_7,0.0,0.8333333333333334,0.14488417317433477,0.5855555555555557,0.08674862695395025,True
cv,0,CIFAR10_8,0.0,0.6666666666666666,0.07954012336037508,0.41888888888888887,0.059487114490916815,True
cv,0,CIFAR10_9,0.0,0.6666666666666666,0.09275679842690376,0.47333333333333333,0.09369708491761719,True
cv,0,FashionMNIST_0,0.016521164021163992,0.6666666666666666,0.12342625706518195,0.4822222222222223,0.07139535567313349,True
cv,0,FashionMNIST_1,0.006743386243386107,0.8333333333333334,0.125,0.33999999999999997,0.037440329218106916,True
cv,0,FashionMNIST_2,0.023166666666666447,0.6666666666666666,0.12154632869662041,0.7688888888888888,0.09926455026455017,True
cv,0,FashionMNIST_3,0.0,0.6666666666666666,0.0905927576479677,0.44333333333333325,0.05738154027042919,True
cv,0,FashionMNIST_4,0.0,0.6666666666666666,0.1371347352471377,0.6144444444444443,0.09174661963550845,True
cv,0,FashionMNIST_5,0.029915343915344006,0.6666666666666666,0.10666668724726724,0.46888888888888897,0.026328924162257517,True
cv,0,FashionMNIST_6,0.006417989417989434,0.8333333333333334,0.14249506625799735,0.8855555555555557,0.1117372134038801,True
cv,0,FashionMNIST_7,0.0,0.6666666666666666,0.12074884130375663,0.35,0.013913286302175254,True
cv,0,FashionMNIST_8,0.0,0.6666666666666666,0.1133663208778446,0.2644444444444444,0.1372539682539683,True
cv,0,FashionMNIST_9,0.0,0.8333333333333334,0.11812711210179416,0.8044444444444445,0.021088771310993626,True
cv,1,CIFAR10_0,0.01168821292775657,0.8333333333333334,0.12947141723990696,0.7866666666666667,0.03840895648500198,True
cv,1,CIFAR10_1,0.0,0.6666666666666666,0.14259687447826352,0.24555555555555558,0.16509209970426708,True
cv,1,CIFAR10_2,0.0,0.6666666666666666,0.16434077230202893,0.4400000000000001,0.0577401774397972,True
cv,1,CIFAR10_3,0.0,0.6666666666666666,0.13881218118650251,0.3700000000000001,0.08482002534854227,True
cv,1,CIFAR10_4,0.012140684410646418,0.6666666666666666,0.06651851955588328,0.6022222222222223,0.03134347275031679,True
cv,1,CIFAR10_5,0.0,0.6666666666666666,0.10007773919746243,0.4155555555555556,0.08750697084917614,True
cv,1,CIFAR10_6,0.0,0.6666666666666666,0.07504205717288892,0.28888888888888886,0.05818546683565695,True
cv,1,CIFAR10_7,0.0,0.8333333333333334,0.1648900347436948,0.7944444444444444,0.09292062737642581,True
cv,1,CIFAR10_8,0.0,0.6666666666666666,0.06435325067972353,0.28777777777777774,0.06735868187579208,True
cv,1,CIFAR10_9,0.0,1.0,0.14181674474445805,0.8011111111111112,0.08477904520490076,True
cv,1,FashionMNIST_0,0.017965608465608685,0.6666666666666666,0.12749022593595405,0.6744444444444444,0.06843356848912407,True
cv,1,FashionMNIST_1,0.004153439153439131,0.6666666666666666,0.09838719095653725,0.5955555555555556,0.03670223398001182,True
cv,1,FashionMNIST_2,0.02552645502645501,0.8333333333333334,0.15491448173489908,0.8044444444444445,0.10788389182833624,True
cv,1,FashionMNIST_3,0.0,0.6666666666666666,0.16310679507521342,0.4877777777777778,0.06558406819517937,True
cv,1,FashionMNIST_4,0.0,0.6666666666666666,0.07827113907854022,0.46999999999999986,0.07886860670194007,True
cv,1,FashionMNIST_5,0.030380952380952286,0.6666666666666666,0.133074317333438,0.3544444444444445,0.02988918283362718,True
cv,1,FashionMNIST_6,0.0,0.6666666666666666,0.09036765193444285,0.7144444444444444,0.12663051146384496,True
cv,1,FashionMNIST_7,0.0,0.6666666666666666,0.11418065838941072,0.2588888888888889,0.01630864197530857,True
cv,1,FashionMNIST_8,0.0,0.8333333333333334,0.1062384500595197,0.5766666666666667,0.14378218694885359,True
cv,1,FashionMNIST_9,0.0,1.0,0.1649956460235158,0.6166666666666667,0.023141975308642038,True
cv,2,CIFAR10_0,0.0033384030418250887,0.6666666666666666,0.10939479853320166,0.6555555555555556,0.030879594423320555,True
cv,2,CIFAR10_1,0.0,0.5,0.0032754499571699958,0.31666666666666665,0.16361258977608784,True
cv,2,CIFAR10_2,0.0,0.8333333333333334,0.12206110810685689,0.7755555555555557,0.06445532319391634,True
cv,2,CIFAR10_3,0.0,0.6666666666666666,0.12432006262144024,0.7177777777777778,0.08522053231939164,True
cv,2,CIFAR10_4,0.010410646387832734,0.6666666666666666,0.10885650023728732,0.3777777777777777,0.026037600337980638,True
cv,2,CIFAR10_5,0.0,0.8333333333333334,0.08461437266723693,0.5988888888888888,0.08637727080692859,True
cv,2,CIFAR10_6,0.0,0.6666666666666666,0.08543738826780378,0.48333333333333334,0.06108829742289823,True
cv,2,CIFAR10_7,0.0,0.6666666666666666,0.11761291474789892,0.48000000000000004,0.08355597803126324,True
cv,2,CIFAR10_8,0.0,0.6666666666666666,0.1341725003773443,0.49666666666666676,0.07545796366708912,True
cv,2,CIFAR10_9,0.0,0.5,0.04059116225149706,0.3266666666666667,0.09747486269539485,True
cv,2,FashionMNIST_0,0.018833333333333147,0.6666666666666666,0.13302254517883327,0.5922222222222223,0.06948500881834219,True
cv,2,FashionMNIST_1,0.0056851851851852375,0.8333333333333334,0.12229983091646457,0.6633333333333334,0.04065990593768376,True
cv,2,FashionMNIST_2,0.02647619047619043,0.6666666666666666,0.16268887877355498,0.7577777777777778,0.11336272780717216,True
