modality,seed,dataset,r1_ens_smallest_rand,r3_ens_smallest_rand,r1_uniform_bank,r3_uniform_bank,r1_discriminative,r3_discriminative,r1_stability,r3_stability,r1_disc_x_stab,r3_disc_x_stab,r1_margin,r3_margin,r1_softmax_var_T0.001,r3_softmax_var_T0.001,r1_softmax_var_T0.0003,r3_softmax_var_T0.0003,r1_agreement,r3_agreement,r1_disc_agree,r3_disc_agree,r1_best_regime_var,r3_best_regime_var,r1_best_regime_agr,r3_best_regime_agr,r1_zscore_disc,r3_zscore_disc,r1_zscore_uniform,r3_zscore_uniform,r1_top1_vote,r3_top1_vote,r1_ORACLE_best_regime,r3_ORACLE_best_regime
tabular,1,39_vertebral,0.11349206349206353,0.1119047619047619,0.11349206349206353,0.09761904761904766,0.09761904761904766,0.09761904761904766,0.11349206349206353,0.09761904761904766,0.09761904761904766,0.09761904761904766,0.11349206349206353,0.09761904761904766,0.09761904761904766,0.0,0.09761904761904766,0.0,0.11349206349206353,0.1119047619047619,0.09761904761904766,0.09761904761904766,0.09761904761904766,0.0,0.11349206349206353,0.1119047619047619,0.09761904761904766,0.09761904761904766,0.11349206349206353,0.09761904761904766,0.11349206349206353,0.09761904761904766,0.09761904761904766,0.09761904761904766
tabular,1,40_vowels,0.0,0.0,0.0028368794326240065,0.0,0.0028368794326240065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028368794326240065,0.0,0.0028368794326240065,0.0,0.0028368794326240065,0.0,0.0028368794326240065,0.0,0.0028368794326240065,0.0,0.0028368794326240065,0.0,0.0,0.0,0.0,0.0,0.0028368794326240065,0.0,0.0,0.0
tabular,1,41_Waveform,0.0023467862481315604,0.0,0.0023467862481315604,0.0023467862481315604,0.0023467862481315604,0.0,0.0023467862481315604,0.0023467862481315604,0.0023467862481315604,0.0,0.0023467862481315604,0.0023467862481315604,0.0023467862481315604,0.0,0.0023467862481315604,0.0,0.0023467862481315604,0.0023467862481315604,0.0023467862481315604,0.0,0.0023467862481315604,0.0,0.0023467862481315604,0.0,0.0023467862481315604,0.0,0.0023467862481315604,0.0,0.0023467862481315604,0.0023467862481315604,0.0023467862481315604,0.0023467862481315604
tabular,1,42_WBC,0.03488372093023262,0.0,0.0,0.0,0.0,0.0,0.03488372093023262,0.0,0.0,0.0,0.03488372093023262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03488372093023262,0.0,0.03488372093023262,0.0,0.0,0.0,0.0,0.0
tabular,1,43_WDBC,0.001388888888888884,0.0,0.0,0.0,0.001388888888888884,0.0,0.0,0.0,0.001388888888888884,0.0,0.05277777777777781,0.0,0.001388888888888884,0.0,0.001388888888888884,0.0,0.0,0.0,0.001388888888888884,0.0,0.001388888888888884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05277777777777781,0.0,0.0,0.0
tabular,1,44_Wilt,0.0,0.0,0.10667359924309905,0.0,0.0,0.0,0.10667359924309905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10667359924309905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10667359924309905,0.0,0.10667359924309905,0.0,0.0,0.0
tabular,1,47_yeast,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.09130338525942916,0.12349555206698054,0.12349555206698054
tabular,1,6_cardio,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889,0.03613361713814889
tabular,2,14_glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18970189701897022,0.0,0.18970189701897022,0.0,0.0,0.0,0.18970189701897022,0.0,0.18970189701897022,0.0,0.18970189701897022,0.0,0.18970189701897022,0.0,0.0,0.0,0.18970189701897022,0.0,0.0,0.0
tabular,2,18_Ionosphere,0.002821869488536244,0.0,0.002821869488536244,0.002821869488536244,0.0455026455026456,0.002821869488536244,0.0455026455026456,0.002821869488536244,0.0455026455026456,0.002821869488536244,0.002821869488536244,0.002821869488536244,0.0455026455026456,0.002821869488536244,0.0455026455026456,0.0455026455026456,0.0185185185185186,0.002821869488536244,0.0185185185185186,0.002821869488536244,0.0455026455026456,0.0455026455026456,0.0185185185185186,0.002821869488536244,0.002821869488536244,0.0,0.002821869488536244,0.0,0.0185185185185186,0.002821869488536244,0.0185185185185186,0.0185185185185186
tabular,2,19_landsat,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0,0.0025650389090906556,0.0025650389090906556
tabular,2,20_letter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tabular,2,22_magic.gamma,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.010232254758021142,0.0,0.0,0.0
