dataset,bench,seed,status,regret_cluster,regret_aug,max_regime_var,random_regret
20_letter,adb,0,ok,0.0,0.0,0.3074066943394389,0.23239166666666677
20_letter,adb,1,ok,0.0,0.0,0.25771502662670615,0.22784814814814813
20_letter,adb,2,ok,0.0,0.0,0.26326813250023673,0.22805185185185184
29_Pima,adb,0,ok,0.05287313432835827,0.05287313432835827,0.31280492043849506,0.04788557213930367
29_Pima,adb,1,ok,0.07223880597014931,0.07223880597014931,0.3526504847202058,0.06436567164179119
29_Pima,adb,2,ok,0.04313432835820907,0.04313432835820907,0.24756876205807724,0.04385572139303484
14_glass,adb,0,ok,0.0,0.0,0.3028608408354685,0.12466124661246614
14_glass,adb,1,ok,0.0,0.0,0.22794832186307606,0.11291779584462514
14_glass,adb,2,ok,0.0,0.0,0.29906085403702454,0.10358325805480284
37_Stamps,adb,0,ok,0.030697190426638876,0.030697190426638876,0.2969163312233558,0.01716961498439118
37_Stamps,adb,1,ok,0.03381893860561913,0.03381893860561913,0.27681893064824353,0.029367556942999196
37_Stamps,adb,2,ok,0.00572320499479706,0.00572320499479706,0.18453628306015013,0.017574286044629406
47_yeast,adb,0,ok,0.04657247514390378,0.04657247514390378,0.3384134639791607,0.06879704544539711
47_yeast,adb,1,ok,0.038763434367829974,0.038763434367829974,0.28637141123969656,0.05502220612110731
47_yeast,adb,2,ok,0.06733285029988323,0.06733285029988323,0.31084252836890064,0.09959154602011744
39_vertebral,adb,0,ok,0.10396825396825388,0.10396825396825388,0.2293363169740322,0.13368606701940028
39_vertebral,adb,1,ok,0.09761904761904766,0.09761904761904766,0.34892413178066295,0.12892416225749564
39_vertebral,adb,2,ok,0.09761904761904772,0.09761904761904772,0.26374549818144055,0.09673721340388003
42_WBC,adb,0,ok,0.0,0.0,0.24505030149710688,0.00284237726098191
42_WBC,adb,1,ok,0.0,0.0,0.21780588465417547,0.015503875968992387
42_WBC,adb,2,ok,0.0,0.0,0.23549683147765396,0.010852713178294615
40_vowels,adb,0,ok,0.01631205673758862,0.01631205673758862,0.30805458555304327,0.2455240346729708
40_vowels,adb,1,ok,0.0028368794326240065,0.0028368794326240065,0.2741875540769417,0.2079826635145784
40_vowels,adb,2,ok,0.00773049645390067,0.00773049645390067,0.3155452631097171,0.20992119779353813
43_WDBC,adb,0,ok,0.04861111111111116,0.02083333333333337,0.4039010998864617,0.015432098765432056
43_WDBC,adb,1,ok,0.001388888888888884,0.001388888888888884,0.40904090506671514,0.008487654320987748
43_WDBC,adb,2,ok,0.04444444444444451,0.04444444444444451,0.44702754410604023,0.009722222222222299
WBC,dami,0,ok,0.0,0.0,0.2686956193855001,0.006459948320413522
WBC,dami,1,ok,1.1102230246251565e-16,1.1102230246251565e-16,0.2646069154401428,0.011886304909560774
WBC,dami,2,ok,0.0,0.0,0.38299390779279935,0.008785529715762297
WDBC,dami,0,ok,0.04999999999999993,0.04999999999999993,0.2211663427261144,0.03456790123456788
WDBC,dami,1,ok,0.06666666666666665,0.06666666666666665,0.19831091346961585,0.036111111111111094
WDBC,dami,2,ok,0.07500000000000007,0.07500000000000007,0.22836131783011374,0.03719135802469131
Wilt,dami,0,ok,0.0,0.0,0.2729344687658903,0.1355489165718411
Wilt,dami,1,ok,0.0,0.0,0.2997297533595787,0.11028526320823911
Wilt,dami,2,ok,0.0,0.0,0.2674596725300005,0.1298255159536862
38_thyroid,adb,0,ok,0.015559256661991538,0.015559256661991538,0.27546930302226413,0.03217365331671085
